province_id,year,code,score
10,2013,D4,6.290534
10,2013,D5,7.080192
10,2013,D6,6.459391
11,2013,D1,4.67222
11,2013,D2,5.795008
11,2013,D3,5.688387
11,2013,D4,5.97313
11,2013,D5,7.054165
11,2013,D6,6.75497
12,2013,D1,4.322599
12,2013,D2,5.231833
12,2013,D3,4.938347
12,2013,D4,4.987067
12,2013,D5,6.668658
12,2013,D6,6.753081
13,2013,D1,5.573081
13,2013,D2,5.416489
13,2013,D3,6.172488
13,2013,D4,6.380521
13,2013,D5,7.22359
13,2013,D6,6.352757
14,2013,D1,5.44542
14,2013,D2,5.900589
14,2013,D3,6.132254
14,2013,D4,5.706917
14,2013,D5,7.24229
14,2013,D6,7.195291
15,2013,D1,5.45678
15,2013,D2,6.329407
15,2013,D3,5.943764
15,2013,D4,5.640414
15,2013,D5,6.846432
15,2013,D6,6.945865
16,2013,D1,5.264643
16,2013,D2,5.939771
16,2013,D3,6.727475
16,2013,D4,5.706765
16,2013,D5,7.255759
16,2013,D6,6.869059
17,2013,D1,5.088111
17,2013,D2,5.849444
17,2013,D3,6.111093
17,2013,D4,5.907283
17,2013,D5,6.74481
17,2013,D6,7.228134
18,2013,D1,4.54986
18,2013,D2,5.476605
18,2013,D3,5.50957
18,2013,D4,5.349509
18,2013,D5,6.322154
18,2013,D6,6.685469
19,2013,D1,5.936472
19,2013,D2,6.345593
19,2013,D3,6.830314
19,2013,D4,6.078991
19,2013,D5,6.962264
19,2013,D6,6.862063
20,2013,D1,4.723511
20,2013,D2,6.061895
20,2013,D3,5.178742
20,2013,D4,5.235758
20,2013,D5,6.846126
20,2013,D6,7.43018
21,2013,D1,5.417231
21,2013,D2,5.998728
21,2013,D3,5.635862
21,2013,D4,5.789735
21,2013,D5,6.67505
21,2013,D6,7.246616
22,2013,D1,6.043607
22,2013,D2,6.354749
22,2013,D3,7.151485
22,2013,D4,5.669296
22,2013,D5,7.211536
22,2013,D6,6.881163
23,2013,D1,5.631222
23,2013,D2,6.096126
23,2013,D3,6.113694
23,2013,D4,5.822727
23,2013,D5,7.179103
23,2013,D6,6.312998
24,2013,D1,5.024486
24,2013,D2,6.396187
24,2013,D3,6.074957
24,2013,D4,6.267573
24,2013,D5,7.565309
24,2013,D6,7.192498
25,2013,D1,5.335857
25,2013,D2,5.465869
25,2013,D3,4.987593
25,2013,D4,5.60833
25,2013,D5,7.120852
25,2013,D6,6.701037
26,2013,D1,5.594298
26,2013,D2,6.606818
26,2013,D3,5.969592
26,2013,D4,6.918564
26,2013,D5,6.725555
26,2013,D6,6.81645
27,2013,D1,5.205329
27,2013,D2,5.77254
27,2013,D3,5.869501
27,2013,D4,5.766767
27,2013,D5,7.219819
27,2013,D6,6.632232
28,2013,D1,5.792954
28,2013,D2,6.250058
28,2013,D3,6.819525
28,2013,D4,6.344786
28,2013,D5,7.514029
28,2013,D6,6.571324
29,2013,D1,6.475642
29,2013,D2,6.873847
29,2013,D3,6.823332
29,2013,D4,6.443473
29,2013,D5,7.569044
29,2013,D6,7.533407
30,2013,D1,5.521946
30,2013,D2,6.570016
30,2013,D3,6.632721
30,2013,D4,6.116329
30,2013,D5,7.789495
30,2013,D6,7.118277
31,2013,D1,5.169472
31,2013,D2,6.073458
31,2013,D3,5.280302
31,2013,D4,5.821513
31,2013,D5,6.72361
31,2013,D6,7.288333
32,2013,D1,5.229287
32,2013,D2,6.669121
32,2013,D3,5.941721
32,2013,D4,6.334148
32,2013,D5,7.515488
32,2013,D6,7.374146
33,2013,D1,5.81443
33,2013,D2,6.01166
33,2013,D3,5.843115
33,2013,D4,6.380849
33,2013,D5,6.784387
33,2013,D6,6.966125
34,2013,D1,5.378279
34,2013,D2,5.774514
34,2013,D3,5.531539
34,2013,D4,5.34068
34,2013,D5,6.248955
34,2013,D6,6.79537
35,2013,D1,5.594021
35,2013,D2,6.030983
35,2013,D3,5.666899
35,2013,D4,6.501791
35,2013,D5,7.078212
35,2013,D6,7.326274
36,2013,D1,5.093759
36,2013,D2,5.577791
36,2013,D3,5.83679
36,2013,D4,6.290004
36,2013,D5,6.73263
36,2013,D6,6.610305
37,2013,D1,4.463257
37,2013,D2,5.521955
37,2013,D3,5.590503
37,2013,D4,6.087518
37,2013,D5,6.979913
37,2013,D6,7.158373
38,2013,D1,4.573864
38,2013,D2,5.569426
38,2013,D3,5.627867
38,2013,D4,5.717951
38,2013,D5,6.64438
38,2013,D6,7.189035
39,2013,D1,4.493525
39,2013,D2,5.528231
39,2013,D3,5.366606
39,2013,D4,6.195524
39,2013,D5,7.386457
39,2013,D6,7.359473
40,2013,D1,5.364465
40,2013,D2,5.301191
40,2013,D3,5.123622
40,2013,D4,4.737928
40,2013,D5,7.056559
40,2013,D6,6.824399
41,2013,D1,5.453024
